gpdm,real,pred,Îó²î
000002,30825615284,18668234212,0.394392163
000004,75602890,13248101.95,0.824767255
000005,152150698.3,186037881.7,0.222721182
000006,485058860.3,636681215.4,0.312585477
000007,10698817.44,7392110.629,0.309072178
000008,209019068.2,822672564.6,2.935873275
000009,2020831899,1316095571,0.34873575
000010,80987934.76,90727777.11,0.120262881
000011,544366414.1,354441953.2,0.34889085
000012,2629471994,2740842835,0.042354831
000014,67735965.8,48537840.98,0.283425867
000016,7773238730,7036488404,0.094780355
000017,24732886.83,20486648.18,0.171683907
000018,923442740.9,1482207792,0.605089006
000019,57472118.11,67860396.19,0.180753354
000020,171620013.6,199641648.9,0.1632772
000021,4003078930,3135641551,0.216692549
000022,615757667.1,658683563.4,0.069712321
000023,260788651.1,214634235,0.176980156
000025,92099937.58,69043389.01,0.250342717
000026,851815980.7,882686657.8,0.036241017
000027,3645163618,3410717476,0.064317042
000028,10256566732,10828653662,0.055777625
000029,149537691.7,211813989.9,0.416458871
000031,2184299393,2902657944,0.328873667
000032,375768502.4,400580064.9,0.066028851
000034,15784658439,14804931771,0.062068284
000035,291856944,440707128.2,0.510010768
000036,454167705,684633387.8,0.507446215
000037,403525942.7,386238546.2,0.042840855
000039,19253639000,18575127710,0.035240678
000040,1066134392,2421216302,1.271023541
000042,1523246849,1125588346,0.26105979
000043,1534341213,1271686604,0.171183963
000045,221307388.1,333737818.4,0.508028364
000046,324933873.6,1447353486,3.454301638
000048,1128756584,1126535628,0.001967613
000049,2978683723,2996140705,0.005860636
000050,6573890689,4012592167,0.389616841
000055,650032997.3,663992916.4,0.021475708
000056,220585346.2,207462940.2,0.05948902
000058,391140155.5,423986523.7,0.083975955
000059,8132656396,9014505991,0.108433155
000060,4789086122,5247693901,0.095761021
000061,532860814,606717888.6,0.138604815
000062,2131478393,1563004946,0.266703828
000063,28879881000,26488573046,0.082801863
000065,2119463058,1722303029,0.187387097
000066,1929108525,311620402.2,0.838464038
000068,38662918.57,30928645.77,0.200043688
000069,6338485232,6809928688,0.074377937
000070,1216259189,1528370385,0.256615694
000078,9203779298,7959343460,0.135209222
000088,90155975.18,95372608.47,0.057862313
000089,849002379.3,836814734.8,0.014355254
000090,1000560214,1464849764,0.464029593
000096,382958676.3,310832496.9,0.188339327
000099,283458635.2,272879731.4,0.037320803
000100,25629844055,26045051489,0.016200155
000150,570374039.3,571763599.6,0.002436226
000151,692545001.6,486432175.9,0.297616509
000153,712890808.2,645719598.9,0.0942237
000155,1418458282,1250075531,0.118708286
000156,766922920.5,754338321.3,0.01640921
000157,6360464384,6131220936,0.036041936
000158,1806584866,2271292868,0.257230098
000159,192233189.6,39355257.53,0.795273347
000301,207453755.6,205179626.4,0.010962102
000338,39212057377,55940673652,0.426619193
000400,894875724,1222166623,0.36573894
000401,1987671252,1839580269,0.074504767
000402,3427459834,6725651219,0.962284475
000403,218422834.9,165938354.2,0.240288433
000404,2355598023,2387620581,0.013594237
000407,1044564217,937608992.8,0.102392196
000408,262129496.5,355497082.2,0.35618878
000410,1638835019,868677747.8,0.469941917
000411,5122226479,4989583819,0.025895509
000413,4665751600,5936860766,0.272433956
000415,7413146000,13607690372,0.83561613
000416,1965935.69,2916834.45,0.483687622
000417,3222356470,3256835170,0.01069984
000418,6811940934,6427903215,0.056377136
000419,1029535358,1060181590,0.029767051
000420,578992319.1,691794132.3,0.194824369
000421,1002078403,911162612.6,0.090727223
000422,2381333120,2753641558,0.156344543
000423,1695873919,2155750022,0.271173522
000425,10783685806,6769706878,0.372226992
000426,422272321.1,301815452.9,0.285258735
000428,252096205.8,227362268.4,0.098113089
000429,743043761.3,822219523.7,0.106555988
000430,56564818.73,70742628.35,0.250647133
000488,7241811895,8041990552,0.110494261
000501,4836265594,4786374438,0.01031605
000502,4551770.95,1782582.516,0.608376051
000503,12159802.31,39938439.18,2.284464514
000504,17096871.95,4115332.18,0.759293268
000505,1866527191,1437036601,0.230101438
000506,98380007.51,115981379.7,0.178912085
000507,385845058.3,404285865.7,0.047793297
000509,578295384.9,460466473.9,0.203752121
000510,426307467.5,428002297.7,0.003975605
000511,1098086693,313935856.6,0.714106492
000513,2369123464,2377383323,0.003486462
000514,142112520.5,157370179.7,0.107363229
000516,1149565832,1126931160,0.019689757
000517,94048789,5233535477,54.64702674
000518,86036603.08,68592447.46,0.202752724
000519,912885218.2,858662494.8,0.059397088
000520,211791327.4,210563025.7,0.005799584
000521,4245506566,4899592847,0.154065545
000523,3103511188,2662405141,0.14213129
000524,1598766946,8695303294,4.438755984
000525,1403073898,1220786482,0.12992004
000526,722903384.2,907814831.6,0.255789987
000528,4472747171,2717314037,0.392473142
000529,338085235.9,582813543.4,0.723865705
000530,515183745,524790544,0.018647326
000531,685688278.4,581377550.4,0.152125581
000532,79792235.06,127580378.9,0.598907197
000533,3005639104,386173785.9,0.871516915
000534,2584380.75,1823922.215,0.294251741
000536,1143814593,1292302397,0.129818072
000537,4431675089,8292702304,0.871234271
000538,6337444218,6316653663,0.00328059
000539,5812535688,5435150704,0.06492605
000540,3871497490,5778468417,0.492566747
000541,1123376512,1111860815,0.010250968
000543,3010115726,3071596915,0.020424859
000544,257787611.1,247476295.3,0.039999268
000545,499692594.4,496822487.5,0.005743745
000546,1328454027,342743905.2,0.741997918
000547,517945246.5,569909434.6,0.10032757
000548,56688700.49,206862038.3,2.649087675
000550,6481073238,8427734039,0.300360871
000551,719046077.3,655928709.9,0.087779308
000552,1192535548,970027730.3,0.186583803
000553,6499510000,6678280375,0.027505208
000554,698574570.9,631387932.9,0.096176759
000555,2211351513,1771141190,0.199068452
000558,58263814.23,298746323.3,4.127476243
000559,2901150732,3196605799,0.101840646
000560,2506607919,328514593.8,0.868940574
000561,176634665,137134966.9,0.223623704
000564,4845972983,11622897871,1.398465264
000565,150815741.8,1337037184,7.86536888
000566,657320034,480367853.5,0.269202476
000567,83558950.37,10129056.18,0.878779519
000568,3369965694,2987435702,0.113511539
000570,593008785.5,690407859.1,0.164245583
000571,419193402.2,288955573.7,0.310686733
000572,1618645122,2282664949,0.410231877
000573,63857602.1,213711894.8,2.346694641
000576,77084393.44,80766571.23,0.047768136
000581,2391982640,3328852223,0.391670728
000582,893188659.7,791314609.8,0.114056587
000584,542226300.2,295725509.3,0.454608695
000585,4755785.11,3533916.388,0.25692261
000586,72332353.91,92008168.08,0.272019547
000589,1651681838,1336860859,0.190606309
000590,59179800.24,86453129.86,0.460855385
000591,838759376.9,726866832.5,0.133402436
000592,170236390.2,147149158,0.135618666
000593,144101358.9,122098126.6,0.152692746
000595,96146435.77,75404829.45,0.215729332
000596,2559879007,2471922350,0.034359693
000597,1978800008,1659100132,0.1615625
000598,895193780.7,930067032.8,0.038956093
000599,984884337.5,944123576.9,0.041386343
000600,3905481846,3077769231,0.211936106
000601,743255608.5,940007664.1,0.264716544
000603,170073291.9,74525695.16,0.561802477
000605,349489167.6,447521594.4,0.280502047
000606,149746449,115484428.4,0.228800221
000607,333143484,330286497,0.008575845
000608,67826000,69116875.45,0.019032162
000609,5503267.69,5006663.751,0.090238013
000610,108713962.9,112548370.6,0.035270609
000611,5137975.31,14234596.06,1.770467977
000612,1009829981,1099400298,0.088698414
000613,9888991.83,13018106.5,0.316424032
000615,277823350.7,322270521,0.159983566
000616,14574664.17,7947350.441,0.454714678
000617,136137452.9,58773231.99,0.568280214
000619,496895842.5,532221305.1,0.071092289
000622,13256420.16,11364002.62,0.142754795
000623,707844757.1,549587307.6,0.223576495
000625,20010746941,17971476317,0.101908771
000626,14773537134,31407228888,1.125911256
000627,,363215518.3,#DIV/0!
000628,137612238.9,68162135.17,0.504679702
000629,3185916336,1842941474,0.42153488
