PARTY_ID_机构内部ID,TICKER_SYMBOL_股票代码,EXCHANGE_CD_交易市场代码,PUBLISH_DATE_发布日期,END_DATE_REP_报告截止日期,END_DATE_截止日期,REPORT_TYPE_报告类型,FISCAL_PERIOD_会计区间,MERGED_FLAG_合并标志,REVENUE_营业收入,N_INT_INCOME_利息净收入,INT_INCOME_利息收入,INT_EXP_利息支出,N_COMMIS_INCOME_手续费及佣金净收入,COMMIS_INCOME_手续费及佣金收入,COMMIS_EXP_手续费及佣金支出,INVEST_INCOME_投资收益,A_J_INVEST_INCOME_其中对联营企业和合营企业的投资收益,F_VALUE_CHG_GAIN_公允价值变动收益,FOREX_GAIN_汇兑收益,ASSETS_DISP_GAIN_资产处置收益,OTH_GAIN_其他收益,OTH_OPER_REV_其他业务收入,SPEC_OR_营业收入特殊项目,AOR_营业收入调整项目,COGS_营业支出,BIZ_TAX_SURCHG_营业税金及附加,GENL_ADMIN_EXP_业务及管理费,ASSETS_IMPAIR_LOSS_资产减值损失,OTH_OPER_COSTS_其他业务成本,SPEC_OP_营业支出特殊项目,AOP_营业支出调整项目,OTH_EFFECT_OP_影响营业利润的调整项目,AE_EFFECT_OP_影响营业利润的差错金额,OPERATE_PROFIT_营业利润,NOPERATE_INCOME_营业外收入,NOPERATE_EXP_营业外支出,AE_FFECT_TP_影响利润总额的调整金额,T_PROFIT_利润总额,INCOME_TAX_所得税费用,OTH_EFFECT_NP_影响净利润的调整项目,AE_EFFECT_NP_影响净利润的差错金额,N_INCOME_净利润,N_INCOME_ATTR_P_归属于母公司所有者的净利润,N_INCOME_BMA_被合并方在合并前实现的净利润,MINORITY_GAIN_少数股东损益,OTH_EFFECT_NPP_影响净利润分配的调整项目,AE_EFFECT_NPP_影响净利润分配的差错金额,BASIC_EPS_基本每股收益,DILUTED_EPS_稀释每股收益,OTH_COMPR_INCOME_其他综合收益,OTH_EFFECT_CI_影响综合收益总额的调整项目,AE_EFFECT_CI_影响综合收益总额的差错金额,T_COMPR_INCOME_综合收益总额,COMPR_INC_ATTR_P_归属于母公司所有者的综合收益总额,COMPR_INC_ATTR_M_S_归属于少数股东的综合收益总额,OTH_EFFECT_PCI_影响综合收益总额分配的调整项目,AE_EFFECT_PCI_影响综合收益总额分配的差错金额
17747,002839,XSHE,2017-10-27,2017-09-30,2017-09-30,Q3,9,1,1846499449.34,1595354047.02,3084229407.67,1488875360.65,97896468.27,114121534.42,16225066.15,129221623.65,66884500.00,7841671.02,9771583.06,,,6414056.32,,,1326080552.52,12711531.23,648347984.07,665021037.22,,,,2512000.00,,522930896.82,31940418.51,1429606.85,,553441708.48,-5743873.44,,,559185581.92,557275772.82,,1909809.10,,,.3100,.3100,-278965640.23,,,280219941.69,278310132.59,1909809.10,,
17747,002839,XSHE,2017-10-27,2017-09-30,2016-09-30,Q3,9,1,1757349402.58,1405196525.24,2777102623.46,1371906098.22,91301952.28,99804861.77,8502909.49,249169692.60,60222709.16,-2679824.13,8741212.82,,,5619843.77,,,1232520414.02,38870892.80,678703423.85,514413657.37,532440.00,,,4106900.00,,528935888.56,149163.37,1820883.36,,527264168.57,2578417.91,,,524685750.66,515768640.70,,8917109.96,,,.3200,.3200,-46101920.62,,,478583830.04,469666720.08,8917109.96,,
17747,002839,XSHE,2018-03-24,2017-12-31,2017-12-31,A,12,1,2413577974.90,2124637764.24,4194577156.10,2069939391.86,113819454.83,140624438.41,26804983.58,151206874.01,86500454.19,3575478.37,8155188.73,2629733.76,,9553480.96,,,1699377094.30,18081866.69,876877795.50,804417432.11,,,,3417440.00,,717618320.60,32684561.26,2556514.15,,747746367.71,-6544868.38,,,754291236.09,763102278.70,,-8811042.61,,,.4300,.4300,-364133193.74,,,390158042.35,398969084.96,-8811042.61,,
17747,002839,XSHE,2018-03-24,2017-12-31,2016-12-31,A,12,1,2439481249.48,1980826256.65,3837265032.59,1856438775.94,125096683.46,137049764.82,11953081.36,310362920.04,96017984.80,-10052839.68,14724736.08,10051909.42,,8471583.51,,,1764153057.51,48157006.39,904861248.46,811134802.66,,,,,,675328191.97,15317523.55,2250292.41,,688395423.11,-7405499.86,,,695800922.97,689470806.21,,6330116.76,,,.4200,.4200,-227692329.71,,,468108593.26,461778476.50,6330116.76,,
17747,002839,XSHE,2016-12-21,2016-06-30,2014-12-31,A,12,1,2363929900.00,2098026300.00,3845099200.00,1747072900.00,49032800.00,56906300.00,7873500.00,177864800.00,88879300.00,5770400.00,11455000.00,,,21780600.00,,,1550800400.00,103531800.00,772843500.00,673793700.00,631400.00,,,,100.00,813129600.00,5702300.00,4761200.00,-100.00,814070600.00,92778200.00,,,721292400.00,730996000.00,,-9703600.00,,,.4500,.4500,137645700.00,,,858938100.00,868641700.00,-9703600.00,,
17747,002839,XSHE,2017-08-23,2017-06-30,2017-06-30,S1,6,1,1203492964.42,1026535629.95,2040674821.15,1014139191.20,68898674.64,79543548.92,10644874.28,98412411.49,43563827.57,605111.12,5308174.65,,,3732962.57,,,863226846.18,8231241.58,428993441.14,426002163.46,,,,2512000.00,,342778118.24,876638.13,1285078.15,,342369678.22,-9962352.79,,,352332031.01,351745460.15,,586570.86,,,.2000,.2000,-257238489.50,,,95093541.51,94506970.65,586570.86,,
17747,002839,XSHE,2017-08-23,2017-06-30,2016-06-30,S1,6,1,1188527733.99,908224497.68,1775450292.58,867225794.90,60650958.71,66145542.51,5494583.80,214559409.50,43912832.72,-5570110.75,6071115.54,,,4591863.31,,,854920427.72,36110659.11,444808988.93,373468339.68,532440.00,,,3637600.00,,337244906.27,141509.04,616869.62,,336769545.69,-2476337.73,,,339245883.42,333226990.59,,6018892.83,,,.2000,.2000,-87148174.78,,,252097708.64,246078815.81,6018892.83,,
17747,002839,XSHE,2017-04-28,2017-03-31,2016-03-31,Q1,3,1,642978900.73,496246588.37,918382333.21,422135744.84,30797525.06,33610040.49,2812515.43,116505284.50,10950000.00,-4228247.18,2240000.00,,,1417749.98,,,443285333.17,25737553.40,231759735.27,185788044.50,,,,,,199693567.56,3158160.02,598612.49,,202253115.09,7361342.26,,,194891772.83,191979199.88,,2912572.95,,,.1200,.1200,-9663107.36,,,185228665.47,182316092.52,2912572.95,,
17747,002839,XSHE,2017-04-28,2016-12-31,2015-12-31,A,12,1,2405784223.96,1999682932.27,3794969839.33,1795286907.06,92222369.48,101724210.41,9501840.93,288192002.30,97766632.97,3758617.43,13479479.14,,,8448823.34,,,1699572963.11,100170781.98,846857821.89,751954356.43,590002.81,,,,,706211260.85,9105107.31,2000037.04,,713316331.12,32231963.67,,,681084367.45,673009701.42,,8074666.03,,,.4100,.4100,217553012.68,,,898637380.13,890562714.10,8074666.03,,
17747,002839,XSHE,2016-12-21,2016-06-30,2013-12-31,A,12,1,2215658400.00,1933643900.00,3786053600.00,1852409700.00,44934600.00,50459900.00,5525300.00,163241700.00,110063800.00,-586400.00,8604900.00,,,65819700.00,,,1046259200.00,96789600.00,642365800.00,305036600.00,2067200.00,,,,,1169399200.00,42489200.00,4297300.00,,1207591100.00,175551500.00,,,1032039600.00,1002599400.00,,29440200.00,,,.6200,.6200,-99815500.00,,,932224100.00,902783900.00,29440200.00,,
