PARTY_ID_机构内部ID,TICKER_SYMBOL_股票代码,EXCHANGE_CD_交易市场代码,PUBLISH_DATE_发布日期,END_DATE_REP_报告截止日期,END_DATE_截止日期,REPORT_TYPE_报告类型,FISCAL_PERIOD_会计区间,MERGED_FLAG_合并标志,REVENUE_营业收入,PREM_EARNED_已赚保费,GROSS_PREM_WRIT_保险业务收入,REINS_INCOME_其中分保费收入,REINSUR_减分出保费,UNE_PREM_RESER_提取未到期责任准备金,F_VALUE_CHG_GAIN_公允价值变动收益,INVEST_INCOME_投资收益,A_J_INVEST_INCOME_其中对联营企业和合营企业的投资收益,FOREX_GAIN_汇兑收益,ASSETS_DISP_GAIN_资产处置收益,OTH_GAIN_其他收益,OTH_OPER_REV_其他业务收入,SPEC_OR_营业收入特殊项目,AOR_营业收入调整项目,COGS_营业支出,PREM_REFUND_退保金,COMPENS_PAYOUT_赔付支出,COMPENS_PAYOUT_REFU_减摊回赔付支出,RESER_INSUR_LIAB_提取保险责任准备金,INSUR_LIAB_RESER_REFU_减摊回保险责任准备金,POLICY_DIV_PAYT_保单红利支出,REINSUR_EXP_分保费用,BIZ_TAX_SURCHG_营业税金及附加,COMMIS_EXP_手续费及佣金支出,GENL_ADMIN_EXP_业务及管理费,REINS_COST_REFUND_减摊回分保费用,OTH_OPER_COSTS_其他业务成本,ASSETS_IMPAIR_LOSS_资产减值损失,SPEC_OP_营业支出特殊项目,AOP_营业支出调整项目,OTH_EFFECT_OP_影响营业利润的调整项目,AE_EFFECT_OP_影响营业利润的差错金额,OPERATE_PROFIT_营业利润,NOPERATE_INCOME_营业外收入,NOPERATE_EXP_营业外支出,OTH_EFFECT_TP_影响利润总额的调整项目,AE_FFECT_TP_影响利润总额的差错金额,T_PROFIT_利润总额,INCOME_TAX_所得税费用,OTH_EFFECT_NP_影响净利润的调整项目,AE_EFFECT_NP_影响净利润的差错金额,N_INCOME_净利润,N_INCOME_ATTR_P_归属于母公司所有者的净利润,N_INCOME_BMA_被合并方在合并前实现的净利润,MINORITY_GAIN_少数股东损益,OTH_EFFECT_NPP_影响净利润分配的调整项目,AE_EFFECT_NPP_影响净利润分配的差错金额,BASIC_EPS_基本每股收益,DILUTED_EPS_稀释每股收益,OTH_COMPR_INCOME_其他综合收益,OTH_EFFECT_CI_影响综合收益总额的调整项目,AE_EFFECT_CI_影响综合收益总额的差错金额,T_COMPR_INCOME_综合收益总额,COMPR_INC_ATTR_P_归属于母公司所有者的综合收益总额,COMPR_INC_ATTR_M_S_归属于少数股东的综合收益总额,OTH_EFFECT_PCI_影响综合收益总额分配的调整项目,AE_EFFECT_PCI_影响综合收益总额分配的差错金额
228,000627,XSHE,2017-10-31,2017-09-30,2017-09-30,Q3,9,1,46588730805.57,40313101817.45,40330850147.63,,14072238.05,3676092.13,164500.00,5403572986.83,106187993.08,-1602001.23,,,502555384.70,370938117.82,,44874959401.84,16677882509.74,1537955047.67,,22418545994.04,,40150906.07,,30760507.18,617885421.27,2091975939.71,-3868164.26,1140572861.36,259153.14,315102897.40,,,,1713771403.73,6178641.78,2920183.99,,,1717029861.52,15195546.33,,,1701834315.19,838826626.65,,863007688.54,,,.2000,.2000,-1156752507.46,,,545081807.73,248882847.84,296198959.89,,
228,000627,XSHE,2017-10-31,2017-09-30,2016-09-30,Q3,9,1,8759403602.95,4392996861.46,4436901654.32,,45269213.08,-1364420.22,6654600.37,3731962228.31,,-381911.26,,,275707485.50,352464338.57,,7580736960.42,3111067073.94,846768586.20,,1241575158.79,,36601730.00,,7012235.20,156267660.59,740950753.58,11595809.82,1086301959.04,60137777.17,305649835.73,,,,1178666642.53,5497971.52,358382.98,,,1183806231.07,-56790628.35,,,1240596859.42,842825843.10,,397771016.32,,,.2140,.2140,2620970988.55,,,3861567847.97,2310190101.79,1551377746.18,,
228,000627,XSHE,2018-04-28,2017-12-31,2017-12-31,A,12,1,53405580054.05,44420568549.97,46131708504.36,,1704401937.97,6738016.42,-147543.67,7682791340.16,253685093.83,-2145426.17,210966.14,5663024.61,779006356.36,519632786.65,,50678188639.28,21731248839.45,1912390856.02,10014263.86,23243326750.26,1644778677.54,51586592.84,,50566205.04,1904711116.18,1591015369.91,199167062.64,1616109449.49,2474257.36,428719206.77,,,,2727391414.77,8724820.98,11809584.84,,,2724306650.91,46020046.80,,,2678286604.11,1326164178.53,,1352122425.58,,,.3000,.3000,-1018684851.56,,,1659601752.55,806634904.24,852966848.31,,
228,000627,XSHE,2016-10-27,2016-09-30,2015-09-30,Q3,9,1,400279623.00,.00,,,,,,11535489.02,,,,,,388744133.98,,465534495.79,,,,,,,,1257427.30,17791756.18,51678108.07,,,13841443.20,380965761.04,,,,-65254872.79,2026098.79,685999.84,,,-63914773.84,-9194466.75,,,-54720307.09,-55803292.70,,1082985.61,,,-.0410,-.0410,,,,-54720307.09,-55803292.70,1082985.61,,
228,000627,XSHE,2018-04-28,2018-03-31,2017-03-31,Q1,3,1,23940692065.83,22280586779.85,22283088995.88,,-1165498.80,3667714.83,200000.00,1382290219.21,,-199403.90,,,119498750.29,158315720.37,.01,23709125454.00,7808611648.85,564834020.93,-5856003.55,13651647395.82,-2545969.95,14515519.47,,3242274.05,652925746.01,420953269.79,-109008.99,452645414.31,,129931624.95,1307557.33,,,231566611.83,701593.63,1026776.95,,,231241428.51,2005061.78,,,229236366.73,110044271.78,,119192094.95,,,.0300,.0300,-206160067.70,,,23076299.03,4902637.25,18173661.78,,
228,000627,XSHE,2017-04-26,2016-12-31,2015-12-31,A,12,1,1084618162.61,,,,,,,543511025.67,528765789.25,,,,,541107136.94,,752425381.71,,,,,,,,2086954.47,22661820.48,77539845.52,,,132165003.65,517971757.59,,,,332192780.90,3744427.79,1503732.18,,,334433476.51,83894999.11,,,250538477.40,247266665.79,,3271811.61,,,.1800,.1800,43394839.36,,,293933316.76,290661505.15,3271811.61,,
228,000627,XSHE,2017-04-26,2017-03-31,2016-03-31,Q1,3,1,2515702444.62,760483946.89,,,,,,1493137992.74,,-444247.12,,,137212715.28,125312036.83,,1469047000.07,182768338.91,73833100.63,-367505.46,736693670.86,21431.35,2596861.34,,36974344.52,6687963.66,110072158.84,-2684.06,152912757.32,60724661.54,105434384.28,,,,1046655444.55,597649.55,39539.92,,,1047213554.18,-64195511.58,,,1111409065.76,793733958.47,,317675107.29,,,.2400,.2400,354317049.74,,,1465726115.50,1148051008.21,317675107.29,,
228,000627,XSHE,2018-04-28,2017-12-31,2016-12-31,A,12,1,16989661921.09,8814084558.34,8871531288.93,,58587169.28,-1140438.69,,7342502564.28,6480273.58,2086350.05,-5883740.89,,355545952.60,481326236.71,,13570741761.79,5035914665.85,1154378032.28,44399431.07,3813441776.30,11164425.93,52252226.68,,25431015.39,284362495.15,1245118851.89,12206125.28,1554254018.19,66992685.16,406365977.18,,,,3418920159.30,15068190.10,1427168.30,,,3432561181.10,323718646.85,,,3108842534.25,1778718929.21,,1330123605.04,,,.4400,.4400,1084504798.46,,,4193347332.71,2310552905.14,1882794427.57,,
228,000627,XSHE,2018-04-28,2018-03-31,2018-03-31,Q1,3,1,15793772924.15,12962722371.81,27158894201.22,,14196876517.21,-704687.80,1134800.00,2126776456.99,,-1302325.28,84929.48,160494.85,563620764.67,140820855.96,-245424.33,15033859922.59,18938392078.57,510586042.43,6599202.58,7375532996.03,14217431045.29,10142395.54,,6724064.04,1152481474.74,397571960.17,3935229.80,765313076.30,,105171229.82,-89917.38,,,759913001.56,44934.31,2097543.92,,,757860391.95,98880473.55,,,658979918.40,338366275.34,,320613643.06,,,.0700,.0700,-838565730.12,,,-179585811.72,-89302247.02,-90283564.70,,
855,600291,XSHG,2016-08-24,2016-06-30,2015-06-30,S1,6,1,10685208768.46,5507854849.07,6733580805.31,6572863.03,406078062.95,819647893.29,8307674.55,5186721567.67,-9604.95,-50949166.15,,,33273843.32,,,8220737079.87,,3352665628.46,332786169.86,67403185.96,2257465.81,,1967091.50,564208120.41,760273310.84,1398450339.91,132653985.98,2515248640.40,4627881.05,23590502.99,,,,2464471688.59,16202056.98,1183267.07,,,2479490478.50,733302231.42,,,1746188247.08,368788309.93,,1377399937.15,,,.9604,.9604,672248077.09,,,2418436324.17,504793884.59,1913642439.58,,
