PARTY_ID_机构内部ID,TICKER_SYMBOL_股票代码,EXCHANGE_CD_交易市场代码,PUBLISH_DATE_发布日期,END_DATE_REP_报告截止日期,END_DATE_截止日期,REPORT_TYPE_报告类型,FISCAL_PERIOD_会计区间,MERGED_FLAG_合并标志,REVENUE_营业收入,N_COMMIS_INCOME_手续费及佣金净收入,N_SEC_TA_INCOME_其中代理买卖证券业务净收入,N_UNDWRT_SEC_INCOME_证券承销业务净收入,N_TRUST_INCOME_委托客户资产管理业务净收入,N_INT_INCOME_利息净收入,INVEST_INCOME_投资收益,A_J_INVEST_INCOME_其中对联营企业和合营企业的投资收益,F_VALUE_CHG_GAIN_公允价值变动收益,FOREX_GAIN_汇兑收益,ASSETS_DISP_GAIN_资产处置收益,OTH_GAIN_其他收益,OTH_OPER_REV_其他业务收入,SPEC_OR_营业收入特殊项目,AOR_营业收入调整项目,COGS_营业支出,BIZ_TAX_SURCHG_营业税金及附加,GENL_ADMIN_EXP_业务及管理费,ASSETS_IMPAIR_LOSS_资产减值损失,OTH_OPER_COSTS_其他业务成本,SPEC_OP_营业支出特殊项目,AOP_营业支出调整项目,OTH_EFFECT_OP_影响营业利润的调整项目,AE_EFFECT_OP_影响营业利润的差错金额,OPERATE_PROFIT_营业利润,NOPERATE_INCOME_营业外收入,NOPERATE_EXP_营业外支出,OTH_EFFECT_TP_影响利润总额的调整项目,AE_FFECT_TP_影响利润总额的差错金额,T_PROFIT_利润总额,INCOME_TAX_所得税费用,OTH_EFFECT_NP_影响净利润的调整项目,AE_EFFECT_NP_影响净利润的差错金额,N_INCOME_净利润,N_INCOME_ATTR_P_归属于母公司所有者的净利润,N_INCOME_BMA_被合并方在合并前实现的净利润,MINORITY_GAIN_少数股东损益,OTH_EFFECT_NPP_影响净利润分配的调整项目,AE_EFFECT_NPP_影响净利润分配的差错金额,BASIC_EPS_基本每股收益,DILUTED_EPS_稀释每股收益,OTH_COMPR_INCOME_其他综合收益,OTH_EFFECT_CI_影响综合收益总额的调整项目,AE_EFFECT_CI_影响综合收益总额的差错金额,T_COMPR_INCOME_综合收益总额,COMPR_INC_ATTR_P_归属于母公司所有者的综合收益总额,COMPR_INC_ATTR_M_S_归属于少数股东的综合收益总额,OTH_EFFECT_PCI_影响综合收益总额分配的调整项目,AE_EFFECT_PCI_影响综合收益总额分配的差错金额
26531,000166,XSHE,2016-10-28,2016-09-30,2015-09-30,Q3,9,1,21664934784.32,15242327542.96,3207139321.76,935528650.42,234767895.97,1607792982.06,4909931028.61,245142562.79,-208819062.90,4897435.56,,,108804858.03,,,9914092061.97,1441733511.15,8427526739.63,-9500307.59,54332118.78,,,,,11750842722.35,44050961.90,12390999.63,,,11782502684.62,3717989030.32,,,8064513654.30,7823981983.08,,240531671.22,,,.3900,.3900,-1225804472.04,,,6838709182.26,6639734166.16,198975016.10,,
26531,000166,XSHE,2015-10-28,2015-09-30,2014-09-30,Q3,9,1,8857862244.80,5220535958.69,3463915319.03,782920620.89,723829510.77,1523452202.26,1413861187.88,66404006.35,539978058.84,-349014.23,,,160383851.36,,,4612940599.86,470756927.35,4089639129.05,-72492810.98,125037354.44,,,,,4244921644.94,32873911.52,3526152.32,,,4274269404.14,968544889.27,,,3305724514.87,3259530970.01,,46193544.86,,,.2400,.2400,369860274.92,,,3675584789.79,3614956832.61,60627957.18,,
26531,000166,XSHE,2017-03-30,2016-12-31,2015-12-31,A,12,1,30462603134.29,19880358031.55,15674850498.76,1677646069.70,2352163368.22,2839611567.70,7133737994.08,325565497.05,485645261.61,15823816.06,,,107426463.29,,,12966199836.75,1937131682.54,10844174921.69,114186429.77,70706802.75,,,,,17496403297.54,66967633.52,16639942.23,,,17546730988.83,5118295238.89,,,12428435749.94,12154187940.61,,274247809.33,,,.6100,.6100,-283152580.70,,,12145283169.24,11800042327.26,345240841.98,,
26531,000166,XSHE,2015-08-29,2015-06-30,2014-06-30,S1,6,1,5290062194.17,3082426805.13,1914517335.56,619040042.77,388711615.33,968450919.29,835124526.16,42254591.58,301571279.11,-1955208.61,,,104443873.09,,,2863393534.92,282769481.79,2576020869.50,-72261258.75,76864442.38,,,,,2426668659.25,18480253.55,3007770.44,,,2442141142.36,522481286.13,,,1919659856.23,1601738371.64,,317921484.59,,,.1400,.1400,-26972218.55,,,1892687637.68,1584786957.93,307900679.75,,
26531,000166,XSHE,2017-08-12,2017-06-30,2017-06-30,S1,6,1,6062480806.06,3310176520.85,2102188718.23,582336446.23,597061148.86,1076504069.76,1518048704.32,88949016.63,62511072.31,1949820.32,,,54594061.52,38696556.98,,3321741485.41,55958643.04,3142978746.01,105410392.78,17393703.58,,,,,2740739320.65,7277884.89,8486954.63,,,2739530250.91,634393970.61,,,2105136280.30,2049964857.73,,55171422.57,,,.1000,.1000,170929083.39,,,2276065363.69,2261000300.12,15065063.57,,
26531,000166,XSHE,2017-08-12,2017-06-30,2016-06-30,S1,6,1,6090260692.92,4849378515.09,3096239043.91,832095594.32,859794399.14,879879531.33,1225401549.16,99914443.17,-930366762.39,5350530.64,,,60617329.09,,,3584892097.59,330709355.98,3251259865.96,-19674.00,2942549.65,,,,,2505368595.33,58566157.99,4041831.56,,,2559892921.76,390321374.56,,,2169571547.20,2104112599.16,,65458948.04,,,.1000,.1000,-1399242869.22,,,770328677.98,704939815.32,65388862.66,,
26531,000166,XSHE,2015-04-30,2015-03-31,2014-03-31,Q1,3,1,2604150383.97,1566703228.65,1062206467.74,282273616.05,158843150.20,491539607.72,381173415.53,21190622.37,127430686.43,-517454.02,,,37820899.66,,,1563758109.22,141385786.63,1217793636.75,171875035.99,32703649.85,,,,,1040392274.75,2215446.81,1442866.39,,,1041164855.17,214413111.73,,,826751743.44,715691361.78,,111060381.66,,,.0600,.0600,38872580.51,,,865624323.95,748356786.79,145625098.15,,-28357560.99
26531,000166,XSHE,2015-04-30,2014-12-31,2013-12-31,A,12,1,5996252289.65,4119685344.87,3374527433.90,175337050.42,519375689.70,1415486097.95,511728285.84,80490275.66,-56976756.00,-4672164.90,,,11001481.89,,,3493232835.96,332862192.32,3093342387.19,62753080.51,4275175.94,,,,,2503019453.69,57685578.45,5597705.56,,,2555107326.58,626287049.33,,,1928820277.25,1883621267.48,,45199009.77,,,.2800,.2800,-7456425.04,,,1921363852.21,1898324185.14,23039667.07,,
26531,000166,XSHE,2016-04-27,2015-12-31,2014-12-31,A,12,1,14152769059.49,8613092571.34,6199041026.18,1109693627.92,,2258533709.09,2541902678.98,106610950.08,655759892.25,828750.78,,,82651457.05,,,6986933002.61,792475161.29,6146906213.37,4411391.12,43140236.83,,,,,7165836056.88,65029848.17,8281385.36,,,7222584519.69,1627478190.28,,,5595106329.41,4681881579.59,,913224749.82,,,.4000,.4000,765854313.77,,,6360960643.18,5270861024.56,1090099618.62,,
26531,000166,XSHE,2016-04-30,2016-03-31,2015-03-31,Q1,3,1,6068002130.81,3665806074.29,2987926404.36,193658331.27,484221338.66,683232063.12,1386779521.61,,260567091.20,925290.96,,,70692089.63,,,2350068440.78,363510255.72,1927538907.66,,59019277.40,,,,,3717933690.03,1067589.15,8560543.52,,,3710440735.66,1664385884.52,,,2046054851.14,1995748414.54,,50306436.60,,,.1300,.1300,144859230.10,,,2190914081.24,2136766550.57,54147530.67,,
