ticker_symbol,end_date,revenue,revenue_diff
66,2010-03-31T00:00:00Z,17458138969.62,16600458899.369999
608,2010-03-31T00:00:00Z,1234597e3,1007584e3
21,2010-06-30T00:00:00Z,10264548091.32,5516981674.309999
66,2010-06-30T00:00:00Z,39441148067.88,37432527427.27
559,2010-06-30T00:00:00Z,4138826058.26,1718474751.5100002
608,2010-06-30T00:00:00Z,2557656e3,182947e4
2362,2010-06-30T00:00:00Z,674413479.44,498490318.4200001
600115,2010-06-30T00:00:00Z,33636173e3,16138389e3
600278,2010-06-30T00:00:00Z,6689541464.39,4946139299.56
600568,2010-06-30T00:00:00Z,174398879.91,-1613667948.6699998
600662,2010-06-30T00:00:00Z,1760794149.57,1156865425.21
600723,2010-06-30T00:00:00Z,4669280077.33,3517893071.92
21,2010-09-30T00:00:00Z,16145041193.26,7454507424.32
36,2010-09-30T00:00:00Z,284428776.47,-1292003269.24
66,2010-09-30T00:00:00Z,60791460955.9,57597961027.93
502,2010-09-30T00:00:00Z,51102725.23,-235585216.42
559,2010-09-30T00:00:00Z,5899197653.91,2055205342.3199997
607,2010-09-30T00:00:00Z,792560015.81,-600799558.7
608,2010-09-30T00:00:00Z,2883499e3,1991469e3
883,2010-09-30T00:00:00Z,9489370003.76,5683964132.47
2075,2010-09-30T00:00:00Z,10604911537.07,10580265218.22
2113,2010-09-30T00:00:00Z,117519240.58,-163530228.84000003
2362,2010-09-30T00:00:00Z,965614008.23,646876322.6500001
2473,2010-09-30T00:00:00Z,166144489.61,63954359.82000001
2561,2010-09-30T00:00:00Z,1439070100.14,527787639.8000001
300111,2010-09-30T00:00:00Z,1668444046.42,1053511056.1400001
600071,2010-09-30T00:00:00Z,1061457550.84,447267229.6600001
600115,2010-09-30T00:00:00Z,55465964e3,26565713e3
600278,2010-09-30T00:00:00Z,10893661195.24,8034399047.78
600320,2010-09-30T00:00:00Z,12796067386,-8994557026
600448,2010-09-30T00:00:00Z,1542164113.93,516412962.5200001
600548,2010-09-30T00:00:00Z,2010575039.14,1101554104.8600001
600568,2010-09-30T00:00:00Z,382936473.97,-1539307771.3899999
600647,2010-09-30T00:00:00Z,257419233.94,165721872.13
600662,2010-09-30T00:00:00Z,2614336586.53,1670898635.1000004
600723,2010-09-30T00:00:00Z,6847386032.54,5111264009.47
600769,2010-09-30T00:00:00Z,663488151.77,204938246.08999997
600780,2010-09-30T00:00:00Z,3376469388.08,1997091853.29
600792,2010-09-30T00:00:00Z,4182604098.36,3308345988.16
600827,2010-09-30T00:00:00Z,32567369866.44,10788926915.8
600890,2010-09-30T00:00:00Z,9359548.47,-34238803.31
601111,2010-09-30T00:00:00Z,59134049e3,22674689e3
601866,2010-09-30T00:00:00Z,27366008056.22,13258461164.550001
601989,2010-09-30T00:00:00Z,35899164555.75,22835584441.11
900929,2010-09-30T00:00:00Z,1417618929.65,333129742.3200002
900939,2010-09-30T00:00:00Z,15062131.12,-14391671.87
21,2010-12-31T00:00:00Z,20771541038.17,7366228180.739998
36,2010-12-31T00:00:00Z,1115387299.69,-804272780.05
66,2010-12-31T00:00:00Z,84010228328.52,61337088839.44
502,2010-12-31T00:00:00Z,71198100.03,-387949300.97
548,2010-12-31T00:00:00Z,333592619.22,111811576.82000002
559,2010-12-31T00:00:00Z,7819675175.17,2249784842
603,2010-12-31T00:00:00Z,822369978.3,812382836.41
