PARTY_ID_机构内部ID,TICKER_SYMBOL_股票代码,EXCHANGE_CD_交易市场代码,PUBLISH_DATE_发布时间,END_DATE_REP_报告截止日期,END_DATE_截止日期,REPORT_TYPE_报告类型,FISCAL_PERIOD_会计区间,MERGED_FLAG_合并标志,CASH_C_EQUIV_货币资金,SETT_PROV_结算备付金,LOAN_TO_OTH_BANK_FI_拆出资金,TRADING_FA_交易性金融资产,DERIV_ASSETS_衍生金融资产,NOTES_RECEIV_应收票据,AR_应收账款,PREPAYMENT_预付款项,PREMIUM_RECEIV_应收保费,REINSUR_RECEIV_应收分保账款,REINSUR_RESER_RECEIV_应收分保合同准备金,INT_RECEIV_应收利息,DIV_RECEIV_应收股利,OTH_RECEIV_其他应收款,PUR_RESALE_FA_买入返售金融资产,ASSETS_HELD_FOR_SALE_划分为持有待售的资产,INVENTORIES_存货,NCA_WITHIN_1Y_一年内到期的非流动资产,OTH_CA_其他流动资产,CAE_流动资产特殊项目,CAA_流动资产调整项目,T_CA_流动资产合计,DISBUR_LA_发放委托贷款及垫款,AVAIL_FOR_SALE_FA_可供出售金融资产,HTM_INVEST_持有至到期投资,LT_RECEIV_长期应收款,LT_EQUITY_INVEST_长期股权投资,INVEST_REAL_ESTATE_投资性房地产,FIXED_ASSETS_固定资产,CIP_在建工程,CONST_MATERIALS_工程物资,FIXED_ASSETS_DISP_固定资产清理,PRODUC_BIOL_ASSETS_生产性生物资产,OIL_AND_GAS_ASSETS_油气资产,INTAN_ASSETS_无形资产,R_D_研发支出,GOODWILL_商誉,LT_AMOR_EXP_长期待摊费用,DEFER_TAX_ASSETS_递延所得税资产,OTH_NCA_其他非流动资产,NCAE_非流动资产特殊项目,NCAA_非流动资产调整项目,T_NCA_非流动资产合计,AE_资产特殊项目,AA_资产调整项目,T_ASSETS_资产总计,ST_BORR_短期借款,CB_BORR_向中央银行借款,DEPOS_吸收存款,LOAN_FR_OTH_BANK_FI_拆入资金,TRADING_FL_交易性金融负债,DERIV_LIAB_衍生金融负债,NOTES_PAYABLE_应付票据,AP_应付账款,ADVANCE_RECEIPTS_预收款项,SOLD_FOR_REPUR_FA_卖出回购金融资产款,COMMIS_PAYABLE_应付手续费及佣金,PAYROLL_PAYABLE_应付职工薪酬,TAXES_PAYABLE_应交税费,INT_PAYABLE_应付利息,DIV_PAYABLE_应付股利,OTH_PAYABLE_其他应付款,REINSUR_PAYABLE_应付分保账款,INSUR_RESER_保险合同准备金,FUNDS_SEC_TRAD_AGEN_代理买卖证券款,FUNDS_SEC_UNDW_AGEN_代理承销证券款,LIAB_HELD_FOR_SALE_划分为持有待售的负债,NCL_WITHIN_1Y_一年内到期的非流动负债,ACCRUED_EXP_预提费用,OTH_CL_其他流动负债,CLE_流动负债特殊项目,CLA_流动负债调整项目,T_CL_流动负债合计,LT_BORR_长期借款,BOND_PAYABLE_应付债券,PREFERRED_STOCK_L_其中优先股,PERPETUAL_BOND_L_永续债,LT_PAYABLE_长期应付款,LT_PAYROLL_PAYABLE_长期应付职工薪酬,SPECIFIC_PAYABLES_专项应付款,ESTIMATED_LIAB_预计负债,DEFER_REVENUE_递延收益,DEFER_TAX_LIAB_递延所得税负债,OTH_NCL_其他非流动负债,NCLE_非流动负债特殊项目,NCLA_非流动负债调整项目,T_NCL_非流动负债合计,LE_负债特殊项目,LA_负债调整项目,T_LIAB_负债合计,PAID_IN_CAPITAL_实收资本,OTH_EQUITY_INSTR_其他权益工具,PREFERRED_STOCK_E_其中优先股,PERPETUAL_BOND_E_永续债,CAPITAL_RESER_资本公积,TREASURY_SHARE_减库存股,OTH_COMPRE_INCOME_其他综合收益,SPECIAL_RESER_专项储备,SURPLUS_RESER_盈余公积,ORDIN_RISK_RESER_一般风险准备,RETAINED_EARNINGS_未分配利润,FOREX_DIFFER_外币报表折算差额,SEE_归属于母公司所有者权益特殊项目,SEA_归属于母公司所有者权益调整项目,T_EQUITY_ATTR_P_归属于母公司所有者权益合计,MINORITY_INT_少数股东权益,OTH_EFFECT_SE_所有者权益特殊项目,OTH_EFFECT_SA_所有者权益合计调整项目,T_SH_EQUITY_所有者权益合计,LEE_负债和所有者权益特殊项目,LEA_负债和所有者权益调整项目,T_LIAB_EQUITY_负债和所有者权益总计,T_REVENUE_营业总收入,REVENUE_营业收入,INT_INCOME_利息收入,PREM_EARNED_已赚保费,COMMIS_INCOME_手续费及佣金收入,SPEC_OR_营业总收入的调整项目,AOR_营业总收入的差错金额,T_COGS_营业总成本,COGS_营业成本,INT_EXP_利息支出,COMMIS_EXP_手续费及佣金支出,PREM_REFUND_退保金,N_COMPENS_PAYOUT_赔付支出净额,RESER_INSUR_CONTR_提取保险合同准备金净额,POLICY_DIV_PAYT_保单红利支出,REINSUR_EXP_分保费用,BIZ_TAX_SURCHG_营业税金及附加,SELL_EXP_销售费用,ADMIN_EXP_管理费用,FINAN_EXP_财务费用,ASSETS_IMPAIR_LOSS_资产减值损失,SPEC_TOC_营业总成本的调整项目,ATOC_营业总成本的差错金额,F_VALUE_CHG_GAIN_公允价值变动收益,INVEST_INCOME_投资收益,A_J_INVEST_INCOME_其中对联营企业和合营企业的投资收益,FOREX_GAIN_汇兑收益,ASSETS_DISP_GAIN_资产处置收益,OTH_GAIN_其他收益,OTH_EFFECT_OP_影响营业利润的调整项目,AE_EFFECT_OP_影响营业利润的差错金额,OPERATE_PROFIT_营业利润,NOPERATE_INCOME_营业外收入,NOPERATE_EXP_营业外支出,NCA_DISPLOSS_非流动资产处置损失,OTH_EFFECT_TP_影响利润总额的调整项目,AE_EFFECT_TP_影响利润总额的差错金额,T_PROFIT_利润总额,INCOME_TAX_所得税费用,OTH_EFFECT_NP_影响净利润的调整项目,AE_EFFECT_NP_影响净利润的差错金额,N_INCOME_净利润,N_INCOME_ATTR_P_归属于母公司所有者的净利润,N_INCOME_BMA_被合并方在合并前实现的净利润,MINORITY_GAIN_少数股东损益,OTH_EFFECT_NPP_影响净利润分配的调整项目,AE_EFFECT_NPP_影响净利润分配的差错金额,BASIC_EPS_基本每股收益,DILUTED_EPS_稀释每股收益,OTH_COMPR_INCOME_其他综合收益,OTH_EFFECT_CI_影响综合收益总额的调整项目,AE_EFFECT_CI_影响综合收益总额的差错金额,T_COMPR_INCOME_综合收益总额,COMPR_INC_ATTR_P_归属于母公司所有者的综合收益总额,COMPR_INC_ATTR_M_S_归属于少数股东的综合收益总额,OTH_EFFECT_PCI_影响综合收益总额分配的调整项目,AE_EFFECT_PCI_影响综合收益总额分配的差错金额,C_FR_SALE_G_S_销售商品提供劳务收到的现金,N_DEPOS_INCR_C_FI_客户存款和同业存放款项净增加额,N_INCR_BORR_FR_CB_向中央银行借款净增加额,N_INC_BORR_OTH_FI_向其他金融机构拆入资金净增加额,PREM_FR_ORIG_CONTR_收到原保险合同保费取得的现金,N_REINSUR_PREM_收到再保险业务现金净额,N_INC_PH_DEPOS_INV_保户储金及投资款净增加额,N_INC_DISP_TRAD_FA_处置交易性金融资产净增加额,IFC_CASH_INCR_收取利息手续费及佣金的现金,N_INC_FR_BORR_拆入资金净增加额,N_CAP_INCR_REPUR_回购业务资金净增加额,REFUND_OF_TAX_收到的税费返还,C_FR_OTH_OPERATE_A_收到其他与经营活动有关的现金,SPEC_OCIF_经营活动现金流入特殊项目,AOCIF_经营活动现金流入调整项目,C_INF_FR_OPERATE_A_经营活动现金流入小计,C_PAID_G_S_购买商品接受劳务支付的现金,N_INC_DISBUR_OF_LA_客户贷款及垫款净增加额,NET_INCR_DEPOS_IN_FI_存放中央银行和同业款项净增加额,ORIG_CONTR_C_INDEM_支付原保险合同赔付款项的现金,C_PAID_IFC_支付利息手续费及佣金的现金,C_PAID_POL_DIV_支付保单红利的现金,C_PAID_TO_FOR_EMPL_支付给职工以及为职工支付的现金,C_PAID_FOR_TAXES_支付的各项税费,C_PAID_FOR_OTH_OP_A_支付其他与经营活动有关的现金,SPEC_OCOF_经营活动现金流出特殊项目,AOCOF_经营活动现金流出调整项目,C_OUTF_OPERATE_A_经营活动现金流出小计,ANOCF_经营活动现金流量净额调整项目,N_CF_OPERATE_A_经营活动产生的现金流量净额,PROC_SELL_INVEST_收回投资收到的现金,GAIN_INVEST_取得投资收益收到的现金,DISP_FIX_ASSETS_OTH_处置固定资产无形资产和其他长期资产收回的现金净额,N_DISP_SUBS_OTH_BIZ_C_处置子公司及其他营业单位收到的现金净额,C_FR_OTH_INVEST_A_收到其他与投资活动有关的现金,SPEC_CIF_投资活动现金流入特殊项目,ACIF_投资活动现金流入调整项目,C_INF_FR_INVEST_A_投资活动现金流入小计,PUR_FIX_ASSETS_OTH_购建固定资产无形资产和其他长期资产支付的现金,C_PAID_INVEST_投资支付的现金,N_INCR_PLEDGE_LOAN_质押贷款净增加额,N_C_PAID_ACQUIS_取得子公司及其他营业单位支付的现金净额,C_PAID_OTH_INVEST_A_支付其他与投资活动有关的现金,SPEC_COF_投资活动现金流出特殊项目,ACOF_投资活动现金流出调整项目,C_OUTF_FR_INVEST_A_投资活动现金流出小计,ANICF_投资活动现金流量净额调整项目,N_CF_FR_INVEST_A_投资活动产生的现金流量净额,C_FR_CAP_CONTR_吸收投资收到的现金,C_FR_MINO_S_SUBS_其中子公司吸收少数股东投资收到的现金,C_FR_BORR_取得借款收到的现金,C_FR_ISSUE_BOND_发行债券收到的现金,C_FR_OTH_FINAN_A_收到其他与筹资活动有关的现金,SPEC_FCIF_筹资活动现金流入特殊项目,AFCIF_筹资活动现金流入调整项目,C_INF_FR_FINAN_A_筹资活动现金流入小计,C_PAID_FOR_DEBTS_偿还债务支付的现金,C_PAID_DIV_PROF_INT_分配股利利润或偿付利息支付的现金,DIV_PROF_SUBS_MINO_S_其中子公司支付给少数股东的股利利润,C_PAID_OTH_FINAN_A_支付其他与筹资活动有关的现金,SPEC_FCOF_筹资活动现金流出特殊项目,AFCOF_筹资活动现金流出调整项目,C_OUTF_FR_FINAN_A_筹资活动现金流出小计,ANFCF_筹资活动流量现金净额调整项目,N_CF_FR_FINAN_A_筹资活动产生的现金流量净额,FOREX_EFFECTS_汇率变动对现金及现金等价物的影响,OTH_EFFECT_CE_影响现金及现金等价物净增加额的特殊项目,ACE_影响现金及现金等价物的调整项目,N_CHANGE_IN_CASH_现金及现金等价物净增加额,N_CE_BEG_BAL_加期初现金及现金等价物余额,OTH_EFFECT_CEI_现金及现金等价物净增加额的特殊项目,ACEI_现金及现金等价物净增加额的调整项目,N_CE_END_BAL_期末现金及现金等价物余额
65,89,XSHE,2009-04-25,2009-03-31,2009-03-31,Q1,3,1,1291640683.75,,,,,77765927.96,255004328.7,4549052.3,,,,15017226.1,,5822202.34,,,2505863.63,,,,,1652305284.78,,,,,706055606.73,165036352.21,2588474994.66,100588969.86,,,,,214605828.53,,,7238506.87,78662750.4,,,,3860663009.26,,,5512968294.04,60905393.32,,,,,,,47240141.8,52980839.9,,,40720374.36,69736727.42,,4193808.65,223967204.15,,,,,,,,,,,499744489.6,,,,,,,,222581293.75,,,13247171.98,,,235828465.73,,,735572955.33,1690243200,,,,901060901.06,,,,352001563.39,,1796145530.9,,,,4739451195.35,37944143.36,,,4777395338.71,,,5512968294.04,389684668.66,389684668.66,,,,,,202358404.62,178480704.01,,,,,,,,15490407.28,793533.22,13664981.16,-6376894.01,305672.96,,,,4734725.26,4734725.26,,,,,,192060989.3,966730.87,2386087.17,116087.17,,,190641633,37672092.64,,,152969540.36,150866373.27,,2103167.09,,,0.0893,0.0893,,,,152969540.36,150866373.27,2103167.09,,,358921630.4,,,,,,,,,,,7549.36,24985077.56,,,383914257.32,52004663.65,,,,,,75301156.02,48173299.4,98235474.89,,,273714593.96,,110199663.36,,,,,1833795.56,,,1833795.56,53372350.38,176811000,,,,,,230183350.38,,-228349554.82,,,5e+06,,,,,5e+06,,,,,,,,,5e+06,-11905.27,,,-113161796.73,234802480.48,,,121640683.75
65,89,XSHE,2009-07-31,2009-06-30,2009-06-30,S1,6,1,1287644321.42,,,,,83864308.73,240262088.15,11081262.21,,,,9130616.98,,9180711.55,,,2500403.21,,,,,1643663712.25,,,,,713896955.47,179892692.18,2516699132.88,94120824.32,,1149581.22,,,214996807.27,,,6166532.82,78662750.4,,,,3805585276.56,,,5449248988.81,67003774.09,,,,,,,50037533.1,62181586.78,,,60650522.19,49651374.34,,,201591295.28,,,,,,,,,,,491116085.78,,,,,,,,90881293.75,,,11975593.93,,,102856887.68,,,593972973.46,1690243200,,,,901060901.06,,,,352001563.39,,1889931268.54,,,,4833236932.99,22039082.36,,,4855276015.35,,,5449248988.81,795646823.9,795646823.9,,,,,,451558192.15,377713307.88,,,,,,,,32169709.56,1769492.51,28647273.7,-12593424.77,23851833.27,,,,12576074,12576074,,,,,,356664705.75,10554561.99,3268350.28,190350.28,,,363950917.46,76205366.75,,,287745550.71,284043431.02,,3702119.69,,,0.168,0.168,,,,287745550.71,284043431.02,3702119.69,,,751159316.85,,,,,,,,,,,18450.84,46681101.05,,,797858868.74,100290111.07,,,,,,146633593.57,132035025.12,292267837.39,,,671226567.15,,126632301.59,,14953279.27,3604624.42,,,,,18557903.69,109326466.66,136811000,,,,,,246137466.66,,-227579562.97,,,1623003774.09,,,,,1623003774.09,1.556e+09,43190496,,,,,1599190496,,23813278.09,-24175.77,,,-77158159.06,234802480.48,,,157644321.42
65,89,XSHE,2009-11-10,2009-09-30,2009-09-30,Q3,9,1,1375766905,,,,,33909783.41,357324813.86,3270168.31,,,,11037322.96,,11290066.37,,,2463799.5,,,0,,1795062859.41,,,,,729407978.23,178439676.41,2475409448.11,165829261.73,,1149581.22,,,213578817.37,,,6987162.05,79422822.96,,,,3850224748.08,,,5645287607.49,33909783.41,,,,0,,,69426126.71,45362277,,,58716647.96,63799512.79,,,198299738.8,,,,,,,,0,,,469514086.67,,,,,,,,91291293.75,,,11284360,,,102575653.75,,,572089740.42,1690243200,,,,901060901.06,,,,358375543.7,,2099262208.27,,,,5048941853.03,24256014.04,,,5073197867.07,,,5645287607.49,1226059955.1,1226059955.1,,,,,,687044632.82,587685008.37,,,,,,,,49398500.61,2397845.03,42609399.12,-18848189.98,23802069.67,,,,24587096.75,24587096.75,,,,,,563602419.03,14841435.27,3741492.35,213491.81,,,574702361.95,117193589.21,,,457508772.74,451589721.38,,5919051.36,,,0.2672,0.2672,,,,457508772.74,451589721.38,5919051.36,,,1146765543.19,,,,,,,,,,,23527.17,159068839.31,,,1305857909.67,173863286.61,,,,,,236666077.88,193254653.88,384442488.04,,,988226506.41,,317631403.26,,23739261.88,3679355.42,,,,,27418617.3,184448926.42,270311000,,,,,,454759926.42,,-427341309.12,,,1589909783.41,,,,,1589909783.41,1.556e+09,43190496,,,,,1599190496,,-9280712.59,-44957.03,,,-119035575.48,234802480.48,,,115766905
65,89,XSHE,2011-03-19,2010-12-31,2009-12-31,A,12,1,1442056204.92,,,,,60394520.14,263782940.9,4583072.42,,,,15623267.26,1164354,13860202.79,,,1689451.52,,,,,1803154013.95,,,,,736114729.25,179441007.02,2517812634.04,241220516.12,,1149581.22,,,213803330.51,,,5858766.94,92212117.7,,,,3987612682.8,,,5790766696.75,53421864.02,,,,,,,44420095.71,41335375.39,,,59530761.75,66771334.83,,,230147641.11,,,,,,,,,,,495627072.81,,,,,,,,91701293.75,,,10602829.89,,,102304123.64,,,597931196.45,1690243200,,,,898698629.79,,,,433322283.18,,2145438477.67,,,,5167702590.64,25132909.66,,,5192835500.3,,,5790766696.75,1662716619.5,1662716619.5,,,,,,980281115.89,846909278.5,,,,,,,,67926886.25,3633182.75,62536667.69,-25552244.72,24827345.42,,,,34181801.78,33958201.78,,,,,,716617305.39,14226661.8,7100852.01,338502.24,,,723743115.18,140816567.92,,,582926547.26,575077588.09,,7848959.17,,,0.3402,0.3402,,,,582926547.26,575077588.09,7848959.17,,,1669418041.66,,,,,,,,,,,,58978480.34,,,1728396522,269045854.37,,,,,,357602734.71,252489619.68,269340733.9,,,1148478942.66,,579917579.34,,23122676.27,7493867.96,,,,,30616544.23,325710893.1,350665000,,,,,,676375893.1,,-645759348.87,,,1647072128.03,,,,,1647072128.03,1649555657.33,65077372.25,21697822.25,1118308.09,,,1715751337.67,,-68679209.64,-79296.39,,,-134600275.56,234802480.48,,,100202204.92
65,89,XSHE,2010-04-27,2010-03-31,2010-03-31,Q1,3,1,1564921567.97,,,,,58893431.04,307912641.23,4746315.94,,,,13189941.69,1164354,11771468.85,,,1708684.35,,,,,1964308405.07,,,,,692669258.94,177970437.11,2480552350.3,376311336.08,,1175353.46,,,213996051.37,,,5003104.17,92212117.7,,,,4039890009.13,,,6004198414.2,30740357.07,,,,,,,52382228.97,48156158.62,,,76909838.55,95064530.61,,,218369443.16,,,,,,,,,,,521622556.98,,,,,,,,92101293.75,,,9955720.2,,,102057013.95,,,623679570.93,1690243200,,,,898698629.79,,,,433322283.18,,2330651939.98,,,,5352916052.95,27602790.32,,,5380518843.27,,,6004198414.2,461143340.76,461143340.76,,,,,,230883267.63,204342890.91,,,,,,,,18710450.92,723040.41,14330670.84,-7223785.45,,,,,9054529.69,9054529.69,,,,,,239314602.82,754218.13,1014299.41,9775.8,,,239054521.54,51371178.57,,,187683342.97,185213462.31,,2469880.66,,,0.1096,0.1096,,,,187683342.97,185213462.31,2469880.66,,,428889861.77,,,,,,,,,,,,51334200.55,,,480224062.32,55089248.7,,,,,,79948226.36,50488116.16,43404719.92,,,228930311.14,,251293751.18,,52500000,20806.16,,450450,,,52971256.16,158692859.12,171323000,,,,,,330015859.12,,-277044602.96,,,,,,,,,22681506.95,,,,,,22681506.95,,-22681506.95,-25278.22,,,-48457636.95,100202204.92,,,51744567.97
65,89,XSHE,2010-07-31,2010-06-30,2010-06-30,S1,6,1,1526177746.72,,,,,38712218.82,335218367.27,2807065.9,,,,12656012.18,1164354,7756481.89,,,1774046.79,,,,,1926266293.57,,,,,705311066.17,176499867.2,2445668073.79,573404006.28,,1540433.46,,,212580566.94,,,4391671.45,93001054.7,,,,4212396739.99,,,6138663033.56,17298158.87,,,,,,,42576803.47,41307965.08,,,96963725.9,60868371.86,,,253927430,,,,,,,,,,,512942455.18,,,,,,,,52296593.75,,,9292602.34,,,61589196.09,,,574531651.27,1690243200,,,,898698629.79,,,,433322283.18,,2511916702.25,,,,5534180815.22,29950567.07,,,5564131382.29,,,6138663033.56,925026227.43,925026227.43,,,,,,484604419.24,430438129.77,,,,,,,,37551062.1,1434511.39,29020559.44,-15477809.31,1637965.85,,,,21696336.92,21696336.92,,,,,,462118145.11,1919950.08,-8674908.5,64697.74,,,472713003.69,101417121.7,,,371295881.99,366478224.58,,4817657.41,,,0.2168,0.2168,,,,371295881.99,366478224.58,4817657.41,,,891082198.25,,,,,,,,,,,110262,78604817.87,,,969797278.12,111499316.17,,,,,,155509165.44,156557666.41,118678144.73,,,542244292.75,,427552985.37,81854000,69114000,113366.16,,,,,151081366.16,374846139.42,1653335,,,,,,376499474.42,,-225418108.26,,,,,,,,,36123705.15,,,,,,36123705.15,,-36123705.15,-35630.16,,,165975541.8,100202204.92,,,266177746.72
65,89,XSHE,2010-10-27,2010-09-30,2010-09-30,Q3,9,1,1251603611.94,,,,,50611635.95,350808694.98,2598047.51,,,,9386992.61,1164354,7850213.26,,,2181019.93,,,,,1676204570.18,,,,,719322557.95,175029297.29,2413633303.08,1032643694.93,,2567335.6,,,212446810.24,,,4316117.57,93001054.7,,,,4652960171.36,,,6329164741.54,43845769.2,,,,,,,49289906.77,34837416.87,,,106373660.42,58297194.35,,,287638664.55,,,,,,,,,,,580282612.16,,,,,,,,52296593.75,,,8629484.48,,,60926078.23,,,641208690.39,1690243200,,,,898698629.79,,,,433322283.18,,2633423196.94,,,,5655687309.91,32268741.24,,,5687956051.15,,,6329164741.54,1398698466.52,1398698466.52,,,,,,753474436.69,668743355.68,,,,,,,,56948657.36,2228710.22,44375452.03,-20459704.45,1637965.85,,,,37707828.7,37707828.7,,,,,,682931858.53,2918757.55,-8545267.7,165535.29,,,694395883.78,148886420.93,,,545509462.85,538373631.27,,7135831.58,,,0.3185,0.3185,,,,545509462.85,538373631.27,7135831.58,,,1333882250.87,,,,,,,,,,,110262,111873215.01,,,1445865727.88,162872533.42,,,,,,249693542.78,233557260.28,166965900.25,,,813089236.73,,632776491.15,230729000,85205955.18,139923.66,,,,,316074878.84,846912037.01,1653335,,,,,,848565372.01,,-532490493.17,,,43845769.2,,,,,43845769.2,53421864.02,50388912,,,,,103810776.02,,-59965006.82,-44584.14,,,40276407.02,100202204.92,,,140478611.94
65,89,XSHE,2012-06-08,2011-12-31,2010-12-31,A,12,1,852161849.56,,,,,23832741.87,246421011.73,1427833.33,,,,5833011.45,1164354,9051287.06,,,2198165.82,,,,,1142090254.82,,,,,731122736.88,173558727.38,2673573210.52,1406821180.12,,514800,,,289334458.17,,,6941017.43,112114521.54,,,,5393980652.04,,,6536070906.86,,,,,,,,49535948.81,41685813.25,,,116711932.74,94824989.85,,,370376326.2,,,,,,,,,,,673135010.85,,,,,,,,,,,8014391.13,,,8014391.13,,,681149401.98,1690243200,,,,897729349.31,,,,508493168.81,,2734028847.39,,,,5830494565.51,24426939.37,,,5854921504.88,,,6536070906.86,1899466194,1899466194,,,,,,1118842236.59,996143906.94,,,,,,,,78451649.77,3295697.71,69082820.67,-25501194.66,-2630643.84,,,,49759557.63,49508007.63,,,,,,830383515.04,6008762.46,-59309810.77,905147.27,,,895702088.27,172357080.16,,,723345008.11,714150167.35,,9194840.76,,,0.4225,0.4225,,,,723345008.11,714150167.35,9194840.76,,,1958822457.13,,,,,,,,,,,110262,76520831.19,,,2035453550.32,297310389.44,,,,,,406473745.72,274897095.23,144392250.27,,,1123073480.66,,912380069.66,895729000,89495008.18,2581451.46,,,,,987805459.64,1477397072.79,3055325,,,,,,1480452397.79,,-492646938.15,,,,,,,,,53421864.02,60289723.05,9900811.05,,,,113711587.07,,-113711587.07,-186899.8,,,305834644.64,100202204.92,,,406036849.56
65,89,XSHE,2011-04-19,2011-03-31,2011-03-31,Q1,3,1,590097165.51,,,,,,354936603.84,2798675.25,,,,1791279.19,1164354,21570015.44,,,2058430.24,,,,,974416523.47,,,,,739488797.04,172088157.47,2640134256.52,1802962261.3,,546834,,,287467824.75,,,6432764.88,112114521.54,,,,5761235417.5,,,6735651940.97,,,,,,,,45562005.43,59692814.96,,,140742091.59,115428445.35,,,337192622.71,,,,,,,,,,,698617980.04,,,,,,,,,,,7367281.44,,,7367281.44,,,705985261.48,1690243200,,,,897729349.31,,,,508493168.81,,2907318572.8,,,,6003784290.92,25882388.57,,,6029666679.49,,,6735651940.97,492217710.07,492217710.07,,,,,,271217203.98,235038256.35,,,,,,,,21652599.46,563394.06,15304302.97,-1258775.66,-82573.2,,,,8366060.16,8366060.16,,,,,,229366566.25,1458425,770150.42,644672.44,,,230054840.83,54209666.22,,,175845174.61,173289725.41,,2555449.2,,,0.1025,0.1025,,,,175845174.61,173289725.41,2555449.2,,,424987033.82,,,,,,,,,,,,34506755.51,,,459493789.33,51046766.09,,,,,,94019704.57,56604771.81,45717110.95,,,247388353.42,,212105435.91,396125000,3949067.39,65334.72,,,,,400139402.11,467802534.77,,,,,,,467802534.77,,-67663132.66,,,,,,,,,9262051.06,1100000,,,,,10362051.06,,-10362051.06,-19936.24,,,134060315.95,406036849.56,,,540097165.51
65,89,XSHE,2011-08-04,2011-06-30,2011-06-30,S1,6,1,379543251.16,,,,,,379132381.29,3966175.18,,,,320971.6,1164354,10656823.36,,,2021223.31,,,,,776805179.9,,,,,750208809.86,170617587.56,2595740344.62,2113244789.33,,4426.76,,,286106357.07,,,5596634.57,119931252.3,,,,6041450202.07,,,6818255381.97,,,,,,,,42782406.63,53198522.05,,,171275930.62,65777203.51,,,332048891.06,,,,,,,,,,,665082953.87,,,,,,,,,,,6720171.75,,,6720171.75,,,671803125.62,1690243200,,,,897729349.31,,,,508493168.81,,3021148296.24,,,,6117614014.36,28838241.99,,,6146452256.35,,,6818255381.97,1163083712.16,1163083712.16,,,,,,728704636.51,644968967.92,,,,,,,,44624526.58,1377015.88,33086459.23,-2614744.13,7262411.03,,,,19533272.98,19086072.98,,,,,,453912348.63,5102507.49,2169268.87,1118475.03,,,456845587.25,99515229.4,,,357330357.85,351905192.85,,5425165,,,0.2082,0.2082,,,,357330357.85,351905192.85,5425165,,,1058335499.55,,,,,,,,,,,,50456590.55,,,1108792090.1,287012899.21,,,,,,183390680.8,193556456.81,52117341.04,,,716077377.86,,392714712.24,396125000,6300000,247456.2,,0,,,402672456.2,806048340.28,,,,,,,806048340.28,,-403375884.08,,,,,0,,,0,,65799606.38,,0,,,65799606.38,,-65799606.38,-32820.18,,,-76493598.4,406036849.56,,,329543251.16
